"user_id","pv_count","buy_count","cart_count","fav_count","buy_rate","active_score","high_freq_category","update_time"
"1","37","0","0","0","0","0.37","2355072","10/5/2026 20:49:38"
"100","60","4","0","3","0.0667","0.78","2881542","10/5/2026 20:49:38"
"1000","43","0","2","7","0","0.61","1879194","10/5/2026 20:49:38"
"1016","17","0","0","0","0","0.17","2465336","10/5/2026 20:49:38"
"1035","28","1","0","0","0.0357","0.31","1807416","10/5/2026 20:49:38"
"1043","157","0","5","1","0","1.69","2355072","10/5/2026 20:49:38"
"1044","50","0","0","8","0","0.66","2520377","10/5/2026 20:49:38"
"1046","8","0","0","0","0","0.08","1936748","10/5/2026 20:49:38"
"1047","16","0","0","0","0","0.16","753591","10/5/2026 20:49:38"
"1049","79","0","11","0","0","1.01","3407883","10/5/2026 20:49:38"
"10001","17","0","0","0","0","0.17","2218582","10/5/2026 20:49:38"
"10008","31","1","8","0","0.0323","0.5","2671397","10/5/2026 20:49:38"
"10009","239","6","9","0","0.0251","2.75","2939262","10/5/2026 20:49:38"
"10013","152","0","0","27","0","2.06","3607361","10/5/2026 20:49:38"
"10020","28","1","1","1","0.0357","0.35","2355072","10/5/2026 20:49:38"
"10021","64","1","14","0","0.0156","0.95","4602841","10/5/2026 20:49:38"
"10024","70","5","1","2","0.0714","0.91","2228184","10/5/2026 20:49:38"
"10027","75","0","4","1","0","0.85","1879194","10/5/2026 20:49:38"
"10034","146","3","6","0","0.0205","1.67","2131531","10/5/2026 20:49:38"
"10035","68","1","1","12","0.0147","0.97","1080785","10/5/2026 20:49:38"
"10044","62","2","8","0","0.0323","0.84","3299155","10/5/2026 20:49:38"
"10045","43","1","1","0","0.0233","0.48","4217906","10/5/2026 20:49:38"
"10049","11","1","1","0","0.0909","0.16","3924783","10/5/2026 20:49:38"
"10053","24","1","0","0","0.0417","0.27","2642752","10/5/2026 20:49:38"
"10057","76","3","5","0","0.0395","0.95","4750127","10/5/2026 20:49:38"
"10075","29","0","5","4","0","0.47","411153","10/5/2026 20:49:38"
"10078","14","1","3","0","0.0714","0.23","4535278","10/5/2026 20:49:38"
"10086","31","2","0","0","0.0645","0.37","2361828","10/5/2026 20:49:38"
"10092","34","0","5","0","0","0.44","4719814","10/5/2026 20:49:38"
"10096","31","1","0","0","0.0323","0.34","2892802","10/5/2026 20:49:38"
"10111","40","2","10","0","0.05","0.66","3556745","10/5/2026 20:49:38"
"10114","120","2","5","0","0.0167","1.36","1851156","10/5/2026 20:49:38"
"10116","12","0","0","3","0","0.18","3326628","10/5/2026 20:49:38"
"10121","50","0","0","4","0","0.58","2520771","10/5/2026 20:49:38"
"10128","57","0","4","2","0","0.69","4197505","10/5/2026 20:49:38"
"10135","37","1","19","2","0.027","0.82","4145813","10/5/2026 20:49:38"
"10136","22","0","0","2","0","0.26","2640118","10/5/2026 20:49:38"
"10139","152","1","9","1","0.0066","1.75","2520377","10/5/2026 20:49:38"
"10146","41","1","0","0","0.0244","0.44","2066955","10/5/2026 20:49:38"
"10150","7","1","0","1","0.1429","0.12","4801426","10/5/2026 20:49:38"
"10154","153","1","0","1","0.0065","1.58","2885642","10/5/2026 20:49:38"
"10156","72","1","0","0","0.0139","0.75","1464116","10/5/2026 20:49:38"
"10158","29","0","1","0","0","0.31","982926","10/5/2026 20:49:38"
"10165","17","0","0","0","0","0.17","3312150","10/5/2026 20:49:38"
"10169","51","1","1","3","0.0196","0.62","2772071","10/5/2026 20:49:38"
"10170","48","5","4","8","0.1042","0.87","4357323","10/5/2026 20:49:38"
"10171","11","0","0","0","0","0.11","4458428","10/5/2026 20:49:38"
"10179","125","2","5","22","0.016","1.85","2735466","10/5/2026 20:49:38"
"10191","28","0","0","1","0","0.3","2520377","10/5/2026 20:49:38"
"10192","98","0","1","0","0","1","4801426","10/5/2026 20:49:38"
"10199","221","2","0","0","0.009","2.27","1879194","10/5/2026 20:49:38"
"10201","21","0","1","0","0","0.23","4756105","10/5/2026 20:49:38"
"10205","58","0","1","12","0","0.84","982926","10/5/2026 20:49:38"
"10206","149","1","1","1","0.0067","1.56","4022701","10/5/2026 20:49:38"
"10218","87","2","0","0","0.023","0.93","3607361","10/5/2026 20:49:38"
"10220","25","0","4","0","0","0.33","2355072","10/5/2026 20:49:38"
"10226","51","2","10","0","0.0392","0.77","4145813","10/5/2026 20:49:38"
"10230","118","2","3","16","0.0169","1.62","2520377","10/5/2026 20:49:38"
"10234","15","1","1","0","0.0667","0.2","2578647","10/5/2026 20:49:38"
"10236","106","4","18","1","0.0377","1.56","4643350","10/5/2026 20:49:38"
"10240","147","1","10","0","0.0068","1.7","1080785","10/5/2026 20:49:38"
"10246","95","1","6","0","0.0105","1.1","2355072","10/5/2026 20:49:38"
"10257","66","2","1","12","0.0303","0.98","3002561","10/5/2026 20:49:38"
"10263","29","1","3","0","0.0345","0.38","3177764","10/5/2026 20:49:38"
"10265","22","2","0","1","0.0909","0.3","3558035","10/5/2026 20:49:38"
"10267","72","5","6","1","0.0694","1.01","3607361","10/5/2026 20:49:38"
"10271","87","0","2","0","0","0.91","4756105","10/5/2026 20:49:38"
"10272","50","0","0","0","0","0.5","154040","10/5/2026 20:49:38"
"10279","87","1","11","1","0.0115","1.14","4801426","10/5/2026 20:49:38"
"10290","43","2","10","0","0.0465","0.69","634390","10/5/2026 20:49:38"
"10295","179","4","2","0","0.0223","1.95","2355072","10/5/2026 20:49:38"
"10296","165","1","1","0","0.0061","1.7","1789614","10/5/2026 20:49:38"
"10297","140","2","9","0","0.0143","1.64","4181361","10/5/2026 20:49:38"
"10299","60","3","5","2","0.05","0.83","1045172","10/5/2026 20:49:38"
"10301","133","3","2","28","0.0226","2.02","4251131","10/5/2026 20:49:38"
"10306","16","0","1","0","0","0.18","245312","10/5/2026 20:49:38"
"10310","183","0","5","1","0","1.95","4756105","10/5/2026 20:49:38"
"10311","53","2","12","0","0.0377","0.83","4801426","10/5/2026 20:49:38"
"10315","177","1","15","1","0.0056","2.12","2355072","10/5/2026 20:49:38"
"10321","37","2","0","0","0.0541","0.43","1879194","10/5/2026 20:49:38"
"10330","20","0","2","1","0","0.26","2671397","10/5/2026 20:49:38"
"10332","54","0","1","2","0","0.6","4357323","10/5/2026 20:49:38"
"10343","54","0","0","1","0","0.56","2885642","10/5/2026 20:49:38"
"10356","6","0","2","0","0","0.1","4145813","10/5/2026 20:49:38"
"10363","56","4","33","0","0.0714","1.34","3194735","10/5/2026 20:49:38"
"10365","257","4","1","32","0.0156","3.35","4719814","10/5/2026 20:49:38"
"10368","8","1","0","0","0.125","0.11","4830705","10/5/2026 20:49:38"
"10371","28","1","1","0","0.0357","0.33","3030258","10/5/2026 20:49:38"
"10386","20","2","0","0","0.1","0.26","1575622","10/5/2026 20:49:38"
